Id,Label,timeset,hash,reputation,pageranks,weighted degree
0,0,,0x0084fb1d84f2359cafd00f92b901c121521d6809,24.919753,0.004294,38
1,1,,0x01957f9fdd191974e86ab635a97fb0a5ed842013,7.583181,0.00117,0
2,2,,0x051fb64da1870459aa38257cbea2d8fbf1db9111,7.583181,0.00117,0
3,3,,0x05f468df35bb2fb0d98c15a83ba340d11742a219,21.468637,0.00117,0
4,4,,0x06044b5359d8df7886366c22c61c7ecd29becac7,3.791413,0.00117,0
5,5,,0x07baad937efcf9963bf32332a8c3a8e8a5628ed4,11.829962,0.00117,0
6,6,,0x08f22b0027f6da3e3b2ca19eaa4ffce7fbcd04b3,7.583181,0.00117,0
7,7,,0x09850194162d1268b3c88a4b8e7d113f0528018a,16.683425,0.00117,0
8,8,,0x0b81747f504dfc906a215e301d8b8ad82e44cbd2,27.300376,0.00117,0
9,9,,0x0b93ba560283350d4216f29dc57e15df38d0eace,22.750254,0.00117,0
10,10,,0x0bba959486e1adde6027f078a82156d7a65f096e,2.365708,0.00117,0
11,11,,0x0c5e8e7dfca5cf804e0b3221702b95a724595c3a,11.829962,0.00117,0
12,12,,0x0c978a94ecbfc0c205a2a989090caf2c80d84c51,11.37495,0.00117,0
13,13,,0x0e15a38ddffd01af86601f6fad2d0417fd4f364a,7.583181,0.00117,0
14,14,,0x0ebbda43014a6e6c32657a8db79376738d549b2f,20.310732,0.008709,94
15,15,,0x0efe994201e2b0136dd40d5033b5f437e4c5f958,15.166718,0.00117,0
16,16,,0x0f07d407ac41d6dbb2cf237b0704c0ab5b9b8754,30.764124,0.028447,326
17,17,,0x0f5bd2404ebb70410462c22cacb062cd285bfc52,15.166718,0.00117,0
18,18,,0x0fe3bb74d170095242b234106a2640b9f537987d,11.829962,0.00117,0
19,19,,0x1057bea69c9add11c6e3de296866aff98366cfe3,33.966305,0.001653,6
20,20,,0x1206ec7abf2c3d22051f6ebb249f065fc6436149,18.200133,0.002095,10
21,21,,0x133d93566f9699b3af46fe150daa8a67a9563ed6,11.594872,0.00117,0
22,22,,0x134bd70d85706adcf0dd37966669d18c0fa24ec6,7.583181,0.00117,0
23,23,,0x144c4e5027b69f7798b2b162d924bcae5c149f15,78.249316,0.029888,351
24,24,,0x155c176fed833371f7fa02ecf62daa9fd9c7c5f4,11.829962,0.00117,0
25,25,,0x158ba61fda796989f17f8cb2109d3f54f5d24f4a,22.750254,0.004595,45
26,26,,0x15ffa925295c1a79a3748349eb7361fc2e9879da,11.37495,0.00117,0
27,27,,0x17d0d3cbe6b72df1ff13916f700266875b03e84a,9.342562,0.00117,0
28,28,,0x17f2f85f33b45b4fadaa68706e24c203b26d831e,12.027134,0.00117,0
29,29,,0x18ab212200ee4c631aca2a4a0ce23a495bd9385c,17.12327,0.00117,0
30,30,,0x1a8d832a6c10013ddeb7340839b0c39bffc0bd13,26.145446,0.001365,1
31,31,,0x1bc9e52baa93dab1a47c3168f6d82ed08856ec83,31.275939,0.009005,91
32,32,,0x1de5366615bceb1bdb7274536bf3fc9f06aa9c2c,8.842048,0.00117,0
33,33,,0x1f134294dee0055da2a9914f73d2a7a59d374ac0,7.583181,0.00117,0
